Date,rf,rm
2010/01,1.4685,-6.6885
2010/02,1.406,-2.6746
2010/03,1.4429,6.5084
2010/04,1.4373,1.063
2010/05,1.3779,-7.8634
2010/06,1.4039,-0.5474
2010/07,1.3638,8.462
2010/08,1.1443,-0.8449
2010/09,1.1995,8.2382
2010/10,1.2507,0.6005
2010/11,1.399,1.0307
2010/12,1.5357,7.168
2011/01,1.3754,1.9265
2011/02,1.4049,-5.967
2011/03,1.3493,0.9727
2011/04,1.4206,3.7379
2011/05,1.4622,-0.1977
2011/06,1.5087,-3.2377
2011/07,1.5896,2.3279
2011/08,1.4109,-9.6289
2011/09,1.2885,-6.5524
2011/10,1.3743,5.0357
2011/11,1.317,-9.008
2011/12,1.2856,2.4327
2012/01,1.2655,6.2924
2012/02,1.2768,8.0398
2012/03,1.2708,-2.3202
2012/04,1.2695,-5.4365
2012/05,1.2063,-2.6476
2012/06,1.2191,0.028
2012/07,1.1682,2.1728
2012/08,1.1799,2.7579
2012/09,1.1692,4.3481
2012/10,1.1321,-7.1134
2012/11,1.1333,5.779
2012/12,1.1673,1.5742
2013/01,1.1875,1.9549
2013/02,1.2116,0.6109
2013/03,1.3006,0.2611
2013/04,1.2025,2.215
2013/05,1.3438,1.9982
2013/06,1.4005,-2.2315
2013/07,1.5188,2.4707
2013/08,1.723,-0.2799
2013/09,1.6863,2.0011
2013/10,1.6219,3.3978
2013/11,1.6657,-0.5086
2013/12,1.6797,2.4365
2014/01,1.6245,-1.7296
2014/02,1.583,2.0916
2014/03,1.5902,2.4273
2014/04,1.5378,-0.6537
2014/05,1.4971,3.2465
2014/06,1.5799,3.7926
2014/07,1.607,0.9085
2014/08,1.599,2.2071
2014/09,1.7172,-4.8972
2014/10,1.635,0.097
2014/11,1.5854,2.3668
2014/12,1.6015,1.3073
2015/01,1.4849,0.5872
2015/02,1.5882,2.7793
2015/03,1.5411,-0.3706
2015/04,1.5678,2.4368
2015/05,1.53,-1.2064
2015/06,1.4998,-3.1509
2015/07,1.4508,-5.3748
2015/08,1.1295,-4.7569
2015/09,1.1418,0.4232
2015/10,1.1959,4.5693
2015/11,1.142,-2.7297
2015/12,1.015,0.2096
2016/01,0.9153,-2.3129
2016/02,0.8576,3.2651
2016/03,0.8504,3.967
2016/04,0.8596,-4.196
2016/05,0.8285,1.8888
2016/06,0.7599,2.6477
2016/07,0.6758,5.4287
2016/08,0.6739,1.8928
2016/09,0.7114,1.4149
2016/10,0.9916,1.3534
2016/11,1.097,-0.5212
2016/12,1.2037,0.1384
2017/01,1.1508,2.1014
2017/02,1.0739,3.2019
2017/03,1.0899,0.6262
2017/04,1.0884,0.6164
2017/05,1.0304,1.7134
2017/06,1.0693,4.4901
2017/07,1.0282,2.3089
2017/08,1.0238,2.3821
2017/09,1.0302,-1.82
2017/10,1.04,3.9542
2017/11,0.9952,-2.1605
2017/12,0.9478,0.7822
2018/01,1.0364,4.3308
2018/02,1.0393,-2.5965
2018/03,0.9857,0.9617
2018/04,1.0134,-2.3958
2018/05,0.9973,2.0393
2018/06,0.9268,0.5993
2018/07,0.8597,4.3114
2018/08,0.8243,0.8384
2018/09,0.8687,-0.4156
2018/10,0.8916,-10.9388
2018/11,0.9503,0.8821
2018/12,0.8648,-1.6244
2019/01,0.87,2.106
2019/02,0.82,4.6002
2019/03,0.7653,2.4244
2019/04,0.7333,3.0701
2019/05,0.7052,-4.2748
2019/06,0.684,3.239
2019/07,0.6837,3.1061
2019/08,0.6443,-1.1231
2019/09,0.7232,2.2315
2019/10,0.6874,4.9058
2019/11,0.6823,1.1609
2019/12,0.672,4.6049
2020/01,0.5862,-4.1847
2020/02,0.5327,-1.7621
2020/03,0.48,-13.8174
2020/04,0.48,13.2562
2020/05,0.4533,-0.4498
2020/06,0.45,6.7854
2020/07,0.4106,10.8182
2020/08,0.4197,-0.035
2020/09,0.4007,-0.3444
2020/10,0.2952,0.2494
2020/11,0.2405,9.3798
2020/12,0.315,7.52
2021/01,0.306,2.7547
2021/02,0.4388,5.3869
2021/03,0.449,3.1371
2021/04,0.405,6.9654
2021/05,0.4395,-2.8309
2021/06,0.4245,4.3115
2021/07,0.4039,-1.9877
2021/08,0.4199,2.2964
2021/09,0.45,-2.8638
2021/10,0.5762,0.3234
2021/11,0.5529,2.596
2021/12,0.7413,4.6791
