,Date,ty10
0,2010/01/29,1.4685
1,2010/02/26,1.406
2,2010/03/31,1.4429
3,2010/04/30,1.4373
4,2010/05/31,1.3779
5,2010/06/30,1.4039
6,2010/07/30,1.3638
7,2010/08/31,1.1443
8,2010/09/30,1.1995
9,2010/10/29,1.2507
10,2010/11/30,1.399
11,2010/12/31,1.5357
12,2011/01/28,1.3754
13,2011/02/25,1.4049
14,2011/03/31,1.3493
15,2011/04/29,1.4206
16,2011/05/31,1.4622
17,2011/06/30,1.5087
18,2011/07/29,1.5896
19,2011/08/31,1.4109
20,2011/09/30,1.2885
21,2011/10/31,1.3743
22,2011/11/30,1.317
23,2011/12/30,1.2856
24,2012/01/31,1.2655
25,2012/02/29,1.2768
26,2012/03/30,1.2708
27,2012/04/30,1.2695
28,2012/05/31,1.2063
29,2012/06/29,1.2191
30,2012/07/31,1.1682
31,2012/08/31,1.1799
32,2012/09/28,1.1692
33,2012/10/31,1.1321
34,2012/11/30,1.1333
35,2012/12/28,1.1673
36,2013/01/31,1.1875
37,2013/02/27,1.2116
38,2013/03/29,1.3006
39,2013/04/30,1.2025
40,2013/05/31,1.3438
41,2013/06/28,1.4005
42,2013/07/31,1.5188
43,2013/08/30,1.723
44,2013/09/30,1.6863
45,2013/10/31,1.6219
46,2013/11/29,1.6657
47,2013/12/31,1.6797
48,2014/01/27,1.6245
49,2014/02/27,1.5830000000000002
50,2014/03/31,1.5902
51,2014/04/30,1.5378
52,2014/05/30,1.4971
53,2014/06/30,1.5799
54,2014/07/31,1.607
55,2014/08/29,1.599
56,2014/09/30,1.7172
57,2014/10/31,1.635
58,2014/11/28,1.5854
59,2014/12/31,1.6015
60,2015/01/30,1.4849
61,2015/02/26,1.5882
62,2015/03/31,1.5411
63,2015/04/30,1.5678
64,2015/05/29,1.53
65,2015/06/30,1.4998
66,2015/07/31,1.4508
67,2015/08/31,1.1295
68,2015/09/30,1.1418
69,2015/10/30,1.1959
70,2015/11/30,1.1420000000000001
71,2015/12/31,1.015
72,2016/01/30,0.9153
73,2016/02/26,0.8576
74,2016/03/31,0.8504
75,2016/04/29,0.8596
76,2016/05/31,0.8285
77,2016/06/30,0.7599
78,2016/07/29,0.6758
79,2016/08/31,0.6739
80,2016/09/30,0.7114
81,2016/10/31,0.9916
82,2016/11/30,1.097
83,2016/12/30,1.2037
84,2017/01/24,1.1508
85,2017/02/24,1.0739
86,2017/03/31,1.0899
87,2017/04/28,1.0884
88,2017/05/31,1.0304
89,2017/06/30,1.0693
90,2017/07/31,1.0282
91,2017/08/31,1.0238
92,2017/09/30,1.0302
93,2017/10/31,1.04
94,2017/11/30,0.9952
95,2017/12/29,0.9478
96,2018/01/31,1.0364
97,2018/02/27,1.0393
98,2018/03/31,0.9857
99,2018/04/30,1.0134
100,2018/05/31,0.9973
101,2018/06/29,0.9268
102,2018/07/31,0.8597
103,2018/08/31,0.8243
104,2018/09/28,0.8687
105,2018/10/31,0.8916
106,2018/11/30,0.9503
107,2018/12/28,0.8648
108,2019/01/30,0.87
109,2019/02/27,0.82
110,2019/03/29,0.7653
111,2019/04/30,0.7333
112,2019/05/31,0.7052
113,2019/06/28,0.684
114,2019/07/31,0.6837
115,2019/08/30,0.6443
116,2019/09/27,0.7232
117,2019/10/31,0.6874
118,2019/11/29,0.6823
119,2019/12/31,0.672
120,2020/01/31,0.5862
121,2020/02/27,0.5327
122,2020/03/31,0.48
123,2020/04/30,0.48
124,2020/05/29,0.4533
125,2020/06/30,0.45
126,2020/07/31,0.4106
127,2020/08/31,0.4197
128,2020/09/30,0.4007
129,2020/10/30,0.2952
130,2020/11/30,0.2405
131,2020/12/31,0.315
132,2021/01/29,0.306
133,2021/02/26,0.4388
134,2021/03/31,0.449
135,2021/04/29,0.405
136,2021/05/31,0.4395
137,2021/06/30,0.4245
138,2021/07/30,0.4039
139,2021/08/31,0.4199
140,2021/09/30,0.45
141,2021/10/29,0.5762
142,2021/11/30,0.5529
143,2021/12/30,0.7413
