日期,指標殖利率,,,
2010/01/29,1.4685,,,
2010/02/26,1.406,,,
2010/03/31,1.4429,,,
2010/04/30,1.4373,,,
2010/05/31,1.3779,,,
2010/06/30,1.4039,,,
2010/07/30,1.3638,,,
2010/08/31,1.1443,,,
2010/09/30,1.1995,,,
2010/10/29,1.2507,,,
2010/11/30,1.399,,,
2010/12/31,1.5357,,,
2011/01/28,1.3754,,,
2011/02/25,1.4049,,,
2011/03/31,1.3493,,,
2011/04/29,1.4206,,,
2011/05/31,1.4622,,,
2011/06/30,1.5087,,,
2011/07/29,1.5896,,,
2011/08/31,1.4109,,,
2011/09/30,1.2885,,,
2011/10/31,1.3743,,,
2011/11/30,1.317,,,
2011/12/30,1.2856,,,
2012/01/31,1.2655,,,
2012/02/29,1.2768,,,
2012/03/30,1.2708,,,
2012/04/30,1.2695,,,
2012/05/31,1.2063,,,
2012/06/29,1.2191,,,
2012/07/31,1.1682,,,
2012/08/31,1.1799,,,
2012/09/28,1.1692,,,
2012/10/31,1.1321,,,
2012/11/30,1.1333,,,
2012/12/28,1.1673,,,
2013/01/31,1.1875,,,
2013/02/27,1.2116,,,
2013/03/29,1.3006,,,
2013/04/30,1.2025,,,
2013/05/31,1.3438,,,
2013/06/28,1.4005,,,
2013/07/31,1.5188,,,
2013/08/30,1.723,,,
2013/09/30,1.6863,,,
2013/10/31,1.6219,,,
2013/11/29,1.6657,,,
2013/12/31,1.6797,,,
2014/01/27,1.6245,,,
2014/02/27,1.583,,,
2014/03/31,1.5902,,,
2014/04/30,1.5378,,,
2014/05/30,1.4971,,,
2014/06/30,1.5799,,,
2014/07/31,1.607,,,
2014/08/29,1.599,,,
2014/09/30,1.7172,,,
2014/10/31,1.635,,,
2014/11/28,1.5854,,,
2014/12/31,1.6015,,,
2015/01/30,1.4849,,,
2015/02/26,1.5882,,,
2015/03/31,1.5411,,,
2015/04/30,1.5678,,,
2015/05/29,1.53,,,
2015/06/30,1.4998,,,
2015/07/31,1.4508,,,
2015/08/31,1.1295,,,
2015/09/30,1.1418,,,
2015/10/30,1.1959,,,
2015/11/30,1.142,,,
2015/12/31,1.015,,,
2016/01/30,0.9153,,,
2016/02/26,0.8576,,,
2016/03/31,0.8504,,,
2016/04/29,0.8596,,,
2016/05/31,0.8285,,,
2016/06/30,0.7599,,,
2016/07/29,0.6758,,,
2016/08/31,0.6739,,,
2016/09/30,0.7114,,,
2016/10/31,0.9916,,,
2016/11/30,1.097,,,
2016/12/30,1.2037,,,
2017/01/24,1.1508,,,
2017/02/24,1.0739,,,
2017/03/31,1.0899,,,
2017/04/28,1.0884,,,
2017/05/31,1.0304,,,
2017/06/30,1.0693,,,
2017/07/31,1.0282,,,
2017/08/31,1.0238,,,
2017/09/30,1.0302,,,
2017/10/31,1.04,,,
2017/11/30,0.9952,,,
2017/12/29,0.9478,,,
2018/01/31,1.0364,,,
2018/02/27,1.0393,,,
2018/03/31,0.9857,,,
2018/04/30,1.0134,,,
2018/05/31,0.9973,,,
2018/06/29,0.9268,,,
2018/07/31,0.8597,,,
2018/08/31,0.8243,,,
2018/09/28,0.8687,,,
2018/10/31,0.8916,,,
2018/11/30,0.9503,,,
2018/12/28,0.8648,,,
2019/01/30,0.87,,,
2019/02/27,0.82,,,
2019/03/29,0.7653,,,
2019/04/30,0.7333,,,
2019/05/31,0.7052,,,
2019/06/28,0.684,,,
2019/07/31,0.6837,,,
2019/08/30,0.6443,,,
2019/09/27,0.7232,,,
2019/10/31,0.6874,,,
2019/11/29,0.6823,,,
2019/12/31,0.672,,,
2020/01/31,0.5862,,,
2020/02/27,0.5327,,,
2020/03/31,0.48,,,
2020/04/30,0.48,,,
2020/05/29,0.4533,,,
2020/06/30,0.45,,,
2020/07/31,0.4106,,,
2020/08/31,0.4197,,,
2020/09/30,0.4007,,,
2020/10/30,0.2952,,,
2020/11/30,0.2405,,,
2020/12/31,0.315,,,
2021/01/29,0.306,,,
2021/02/26,0.4388,,,
2021/03/31,0.449,,,
2021/04/29,0.405,,,
2021/05/31,0.4395,,,
2021/06/30,0.4245,,,
2021/07/30,0.4039,,,
2021/08/31,0.4199,,,
2021/09/30,0.45,,,
2021/10/29,0.5762,,,
2021/11/30,0.5529,,,
2021/12/30,0.7413,,,
,,,,
,,,,
